ligero
ligero (local)
ligero (x)
ligero ()
ligero (
ligero (local
(ligero)
ligero(local)
**ligero** (local)
`ligero` (local)
_ligero_ (local)
LIGERO (local)
Ligero (Local)
ligero	(local)
ligero (x) (y)
ligero (critico)
ligero (ligero)
ligero (estandar)
ligero (por suelo)
ligero — local
ligero, local
ligero (no sensible)
ligero )
) ligero (
ligero (a(b)c)
lígero (local)
ligero (local) x
x ligero (local)
estandar
estandar (x)
estandar (
critico
critico (por suelo)
critico (
desconocido
desconocido (x)

 
ligero (local) 
